season,month,0
0,1,12.323197
0,2,20.460194
0,3,27.835947
0,4,39.88779
0,5,58.123898
0,6,85.347496
0,7,114.8931
0,8,141.0134
0,9,159.57307
0,10,163.59053
0,11,113.598656
0,12,36.0999
1,1,17.482203
1,2,24.987307
1,3,35.395573
1,4,48.161945
1,5,67.71027
1,6,102.81991
1,7,132.00218
1,8,153.38638
1,9,168.79509
1,10,165.08076
1,11,105.84463
1,12,12.8721
2,1,14.369158
2,2,21.218891
2,3,32.095867
2,4,45.49576
2,5,63.069916
2,6,79.12536
2,7,107.44925
2,8,134.92972
2,9,157.08278
2,10,153.3608
2,11,98.93094
2,12,20.392208
3,1,18.601074
3,2,21.565384
3,3,30.907785
3,4,46.54541
3,5,64.5611
3,6,99.434814
3,7,133.52461
3,8,155.66678
3,9,161.42952
3,10,149.10701
3,11,64.58289
3,12,8.6504
4,1,11.554976
4,2,17.046078
4,3,25.015247
4,4,36.229507
4,5,49.792336
4,6,70.4997
4,7,92.30717
4,8,113.96745
4,9,125.23271
4,10,132.25151
4,11,85.439835
4,12,24.571873
5,1,15.34002
5,2,23.826233
5,3,40.891697
5,4,56.066086
5,5,79.57475
5,6,107.20306
5,7,130.8327
5,8,151.08086
5,9,164.73274
5,10,154.01512
5,11,94.02799
5,12,20.452085
6,1,14.9961605
6,2,25.256216
6,3,39.739918
6,4,56.497253
6,5,72.689865
6,6,94.51853
6,7,121.39268
6,8,149.26997
6,9,156.8907
6,10,140.16098
6,11,81.646706
6,12,20.131655
7,1,14.795685
7,2,18.638594
7,3,25.621172
7,4,37.1628
7,5,52.6963
7,6,66.99757
7,7,86.914825
7,8,101.352104
7,9,105.738594
7,10,109.56036
7,11,61.864136
7,12,24.969948
8,1,12.927527
8,2,28.772968
8,3,43.602173
8,4,67.17888
8,5,90.321236
8,6,112.43743
8,7,127.63724
8,8,146.34215
8,9,152.81483
8,10,145.29524
8,11,85.32152
8,12,20.78462
9,1,13.088079
9,2,25.67037
9,3,34.369637
9,4,48.92136
9,5,68.30719
9,6,86.01261
9,7,115.85458
9,8,145.11162
9,9,148.50224
9,10,141.11621
9,11,71.88212
9,12,20.462816
10,1,15.864461
10,2,20.378706
10,3,29.442162
10,4,39.063377
10,5,57.72501
10,6,75.64433
10,7,95.71708
10,8,110.938446
10,9,127.57194
10,10,133.09589
10,11,79.80874
10,12,10.070185
11,1,10.355876
11,2,17.484203
11,3,27.095152
11,4,38.17089
11,5,59.799545
11,6,81.94625
11,7,104.66794
11,8,121.87954
11,9,144.39244
11,10,138.22108
11,11,80.99446
11,12,15.985272
12,1,13.430568
12,2,21.76959
12,3,29.770733
12,4,42.787785
12,5,78.12016
12,6,107.32517
12,7,122.0522
12,8,138.51033
12,9,148.62454
12,10,138.40822
12,11,62.33134
12,12,16.171505
13,1,19.27522
13,2,25.195126
13,3,31.124058
13,4,41.92286
13,5,54.300205
13,6,75.00404
13,7,96.99096
13,8,126.911575
13,9,145.40828
13,10,142.56453
13,11,57.80345
13,12,23.989222
14,1,18.259933
14,2,23.216099
14,3,32.917164
14,4,48.2959
14,5,63.009716
14,6,79.97988
14,7,109.74787
14,8,138.73705
14,9,157.79097
14,10,148.45027
14,11,75.59178
14,12,17.98875
15,1,12.77756
15,2,15.982563
15,3,23.05816
15,4,30.338428
15,5,36.328274
15,6,52.359447
15,7,68.1412
15,8,74.98907
15,9,85.71611
15,10,85.16876
15,11,68.113754
15,12,16.254766
16,1,24.31999
16,2,26.021986
16,3,35.983326
16,4,45.17643
16,5,61.10814
16,6,83.543945
16,7,114.7047
16,8,129.87022
16,9,129.67857
16,10,97.57428
16,11,80.71451
16,12,47.563107
17,1,17.79163
17,2,21.201721
17,3,37.84762
17,4,56.69839
17,5,69.677734
17,6,79.34142
17,7,94.79888
17,8,112.40998
17,9,124.729485
17,10,112.55849
17,11,86.61147
17,12,27.09181
18,1,17.163322
18,2,27.856855
18,3,38.907715
18,4,52.252514
18,5,66.79994
18,6,81.74862
18,7,103.36537
18,8,130.97836
18,9,138.2117
18,10,140.29036
18,11,82.46337
18,12,25.897877
19,1,20.40082
19,2,23.093477
19,3,30.460808
19,4,39.942814
19,5,53.962955
19,6,64.355095
19,7,78.13824
19,8,108.053276
19,9,123.93796
19,10,107.31954
19,11,69.540535
19,12,21.157522
20,1,16.786081
20,2,23.643133
20,3,38.254993
20,4,52.527515
20,5,68.505325
20,6,81.593506
20,7,104.23943
20,8,126.28416
20,9,134.84784
20,10,132.82457
20,11,47.233173
20,12,33.00958
21,1,21.736458
21,2,30.089895
21,3,39.582684
21,4,52.490105
21,5,63.88737
21,6,86.73057
21,7,107.65501
21,8,111.52819
21,9,116.60236
21,10,93.50915
21,11,67.15034
21,12,29.926455
22,1,19.64843
22,2,22.028864
22,3,39.401287
22,4,59.39774
22,5,74.72482
22,6,91.14694
22,7,107.681656
22,8,115.38594
22,9,128.00357
22,10,123.83962
22,11,80.076775
22,12,34.13348
23,1,15.85811
23,2,24.770601
23,3,38.240486
23,4,54.667194
23,5,74.537155
23,6,92.38301
23,7,105.94473
23,8,121.713264
23,9,128.45543
23,10,115.770515
23,11,55.31317
23,12,21.363132
24,1,21.162054
24,2,27.826517
24,3,38.728195
24,4,49.805614
24,5,73.768936
24,6,117.58113
24,7,135.09271
24,8,143.21317
24,9,152.74095
24,10,148.90555
24,11,90.11434
24,12,14.522862
25,1,11.882515
25,2,22.773123
25,3,33.628487
25,4,44.422195
25,5,57.990093
25,6,78.73805
25,7,103.17557
25,8,117.5075
25,9,116.41146
25,10,115.75542
25,11,88.712204
25,12,23.813114
26,1,17.95214
26,2,20.274515
26,3,27.901964
26,4,37.97494
26,5,49.997517
26,6,65.454185
26,7,83.13075
26,8,100.235054
26,9,106.98727
26,10,109.09169
26,11,80.87443
26,12,24.189447
27,1,16.327011
27,2,22.844425
27,3,30.801561
27,4,41.757343
27,5,54.86377
27,6,75.52726
27,7,92.010445
27,8,105.14779
27,9,125.44796
27,10,122.0876
27,11,98.755455
27,12,32.395035
28,1,19.05731
28,2,23.26746
28,3,36.282635
28,4,51.14522
28,5,69.93318
28,6,88.44764
28,7,102.04436
28,8,120.33458
28,9,132.61885
28,10,123.25386
28,11,87.49558
28,12,26.380714
29,1,20.692713
29,2,27.52983
29,3,36.600956
29,4,45.799095
29,5,67.19163
29,6,92.81222
29,7,115.25512
29,8,134.58073
29,9,148.70244
29,10,134.9001
29,11,53.37465
29,12,17.368671
30,1,21.82452
30,2,27.932194
30,3,39.883526
30,4,52.437996
30,5,70.12068
30,6,91.70519
30,7,116.630196
30,8,125.39955
30,9,141.34203
30,10,130.34369
30,11,102.419014
30,12,38.78696
31,1,25.539227
31,2,34.860775
31,3,43.778233
31,4,57.12093
31,5,75.84578
31,6,104.05074
31,7,126.77287
31,8,140.03358
31,9,142.20418
31,10,139.1512
31,11,93.9668
31,12,22.031916
32,1,15.289599
32,2,19.434208
32,3,29.034042
32,4,38.477253
32,5,50.944633
32,6,56.5202
32,7,75.60222
32,8,98.842155
32,9,110.31026
32,10,86.99122
32,11,52.964787
32,12,23.422201
33,1,22.045828
33,2,32.164776
33,3,39.960712
33,4,54.361534
33,5,70.27033
33,6,82.19251
33,7,105.581276
33,8,126.0591
33,9,137.76637
33,10,136.38055
33,11,108.08589
33,12,45.565533
34,1,29.62083
34,2,38.822285
34,3,48.05371
34,4,62.207836
34,5,81.858505
34,6,100.69826
34,7,113.48795
34,8,135.76387
34,9,137.55452
34,10,128.28949
34,11,92.906166
34,12,47.953888
35,1,28.836288
35,2,26.39925
35,3,34.565792
35,4,46.474453
35,5,57.27616
35,6,73.261894
35,7,89.53588
35,8,108.098015
35,9,114.96868
35,10,99.7229
35,11,48.185658
35,12,22.135023
36,1,19.279966
36,2,24.126041
36,3,35.5688
36,4,49.221752
36,5,72.706764
36,6,94.198326
36,7,111.65413
36,8,129.56792
36,9,144.15462
36,10,146.51529
36,11,112.71865
36,12,40.886433
37,1,21.248098
37,2,26.232391
37,3,28.506588
37,4,37.17705
37,5,47.34621
37,6,61.12405
37,7,74.50381
37,8,79.6175
37,9,67.29538
37,10,66.55669
37,11,42.118385
37,12,24.56565
38,1,18.932306
38,2,23.213531
38,3,34.9412
38,4,45.24547
38,5,62.5418
38,6,78.33937
38,7,99.9467
38,8,121.18692
38,9,129.17035
38,10,129.76251
38,11,88.6571
38,12,14.541411
39,1,16.672092
39,2,25.01416
39,3,34.28448
39,4,45.425117
39,5,63.525238
39,6,83.45078
39,7,104.36198
39,8,138.99289
39,9,151.92165
39,10,137.45442
39,11,92.098915
39,12,26.08446
40,1,15.326288
40,2,26.49072
40,3,38.182278
40,4,55.043125
40,5,68.307915
40,6,83.72872
40,7,90.64942
40,8,115.30007
40,9,119.47777
40,10,120.6217
40,11,76.621376
40,12,31.464989
41,1,17.134583
41,2,24.926897
41,3,36.276028
41,4,53.502384
41,5,82.61018
41,6,106.653336
41,7,125.91458
41,8,129.19492
41,9,141.452
41,10,96.505844
41,11,72.264626
41,12,28.235285
42,1,20.04351
42,2,25.133284
42,3,33.068253
42,4,46.70453
42,5,65.33943
42,6,87.38903
42,7,108.286125
42,8,125.31921
42,9,128.55136
42,10,132.59233
42,11,80.58628
42,12,42.333282
43,1,19.660889
43,2,26.349453
43,3,35.890144
43,4,49.695858
43,5,70.3131
43,6,91.5737
43,7,115.84686
43,8,133.50737
43,9,137.9379
43,10,129.01135
43,11,85.36097
43,12,42.802616
44,1,18.97747
44,2,22.324594
44,3,31.746786
44,4,39.37746
44,5,55.605453
44,6,71.00901
44,7,87.50046
44,8,95.82496
44,9,111.46519
44,10,117.01002
44,11,65.58817
44,12,24.14198
45,1,14.569706
45,2,18.79362
45,3,26.728563
45,4,39.947975
45,5,53.613266
45,6,83.69918
45,7,103.89487
45,8,124.43355
45,9,132.53056
45,10,130.1001
45,11,104.56095
45,12,35.614296
46,1,16.866577
46,2,23.396986
46,3,30.556204
46,4,41.672096
46,5,62.377937
46,6,77.75486
46,7,93.2756
46,8,100.44385
46,9,105.96335
46,10,106.28488
46,11,84.476364
46,12,35.149746
47,1,26.34282
47,2,39.896164
47,3,46.215263
47,4,60.64802
47,5,79.22952
47,6,110.23354
47,7,130.32573
47,8,145.29471
47,9,148.7831
47,10,138.14053
47,11,96.224365
47,12,17.805185
48,1,13.8026495
48,2,20.949755
48,3,32.448112
48,4,47.81515
48,5,60.897934
48,6,81.96199
48,7,111.764786
48,8,139.15164
48,9,144.49976
48,10,128.92952
48,11,123.09336
48,12,34.34773
49,1,16.166971
49,2,21.54738
49,3,33.83952
49,4,45.73524
49,5,62.854126
49,6,78.251305
49,7,108.71848
49,8,123.33329
49,9,125.43721
49,10,130.70622
49,11,109.680954
49,12,37.416348
50,1,25.880621
50,2,32.216187
50,3,41.456795
50,4,53.06843
50,5,67.04263
50,6,86.92466
50,7,109.74704
50,8,132.45363
50,9,145.01888
50,10,132.42998
50,11,115.806526
50,12,55.843884
51,1,26.26633
51,2,36.315468
51,3,44.191654
51,4,61.358696
51,5,70.38441
51,6,85.56092
51,7,105.58275
51,8,124.06411
51,9,137.12184
51,10,127.74439
51,11,85.657745
51,12,22.783888
52,1,14.476542
52,2,17.558157
52,3,25.836908
52,4,36.486183
52,5,46.43003
52,6,62.76258
52,7,89.76894
52,8,110.86374
52,9,129.49506
52,10,121.00843
52,11,64.08056
52,12,41.193615
53,1,19.936176
53,2,28.796688
53,3,36.44361
53,4,54.18853
53,5,72.50912
53,6,91.38765
53,7,106.53051
53,8,132.4708
53,9,146.19704
53,10,131.66397
53,11,92.088875
53,12,47.995354
